regime,law,mean_repeats,dataset,group,year,source,zipf_exponent,lognormal_sigma,geometric_tail,n_types,loglog_r2,csn_xmin,csn_alpha,csn_tail,tail_fraction,gof_p,gof_failed,lr_R,lr_normalized_R,lr_p,lr_at_bound,lr_mu,lr_sigma,lr_gap,error
finch,zipf,1.0,0,0,,discovered,1.0,1.0,0.05,50,0.9344669696419222,2.0,2.643071938679276,30.0,0.6,0.05,0.0,0.06424563653187576,0.3377110563467267,0.7355809420337689,False,-144713.00670528912,276.5715935375664,1.8953158360091038e-05,
finch,zipf,1.0,0,0,,true,1.0,1.0,0.05,10,0.9795573734704461,4.0,1.927251510858953,10.0,1.0,0.57,0.0,-0.6132048699720096,-0.7028841364593398,0.4821279579917993,False,1.4593134759871007,1.2333621160715964,3.701927653310122e-12,
finch,zipf,1.0,0,1,,discovered,1.0,1.0,0.05,48,0.9456177558267206,1.0,1.9181158223934927,48.0,1.0,0.02,0.0,-2.0735913874317076,-1.348830225359823,0.17739150391983993,False,-0.8089331954121097,1.408982366135628,5.803713065688498e-11,
finch,zipf,1.0,0,1,,true,1.0,1.0,0.05,10,0.8520306464287785,1.0,1.3674394865893533,10.0,1.0,0.0,0.0,-5.516664805976944,-2.010412941042496,0.04438750195080588,False,2.2659144719440087,0.9967381183049882,1.3287149158713873e-12,
finch,zipf,1.0,0,2,,discovered,1.0,1.0,0.05,45,0.9229979677299954,1.0,2.0416093709228327,45.0,1.0,0.56,0.0,-0.2231161178997057,-0.36589713575714283,0.7144418337207873,False,-14.919148864759197,3.5399953029233533,3.907729251295677e-09,
finch,zipf,1.0,0,2,,true,1.0,1.0,0.05,10,0.8948825195242126,2.0,1.5386413532848668,10.0,1.0,0.01,0.0,-3.3601700254638,-1.6865047490185079,0.09169862115569404,False,2.270143323090057,0.9341511814282151,7.105427357601002e-14,
finch,zipf,1.0,0,3,,discovered,1.0,1.0,0.05,42,0.951772542725543,2.0,2.0709670871182952,23.0,0.5476190476190477,0.52,0.0,-0.9620989663339206,-0.9210844774163675,0.357006323772738,False,0.22023330513952138,1.2219492173258877,4.263256414560601e-12,
finch,zipf,1.0,0,3,,true,1.0,1.0,0.05,10,0.9712183470323522,3.0,1.7103005860527924,10.0,1.0,0.16,0.0,-1.7410170445934394,-1.288927623335279,0.19742324968121638,False,2.11703661731548,1.0029699822959133,8.384404281969182e-13,
finch,zipf,1.0,0,4,,discovered,1.0,1.0,0.05,40,0.9474000917341545,1.0,1.8991835592955215,40.0,1.0,0.27,0.0,-0.4581397390076347,-0.5382371027391606,0.5904133680843107,False,-6.286254481363334,2.6605568492272984,5.2558277729986e-09,
finch,zipf,1.0,0,4,,true,1.0,1.0,0.05,10,0.9768297218447697,4.0,1.8849877703189348,10.0,1.0,0.16,0.0,-1.059367235977526,-1.0127884378272312,0.3111612245485371,False,1.9628590827604675,1.0161563209292197,2.4868995751603507e-13,
