law,mean_repeats,dataset,year,source,n_types,loglog_r2,csn_xmin,csn_alpha,csn_tail,tail_fraction,gof_p,gof_failed,lr_R,lr_normalized_R,lr_p,lr_at_bound,lr_mu,lr_sigma,lr_gap,error
zipf,1.0,0,2010,discovered,142,0.8653171071609238,1,2.491453518908756,142,1.0,0.9,0,0.41184694874946337,0.6119352878625477,0.5405805732788143,False,-557453.1263275389,543.6454605211342,0.00040750948028289713,
zipf,1.0,0,2010,true,67,0.9581202624907729,3,2.311235626304702,27,0.40298507462686567,0.61,0,-0.22919872904964644,-0.4178101636211896,0.6760859192806203,False,-3.4859076612713626,2.01723674589588,6.954934406167013e-10,
zipf,1.0,0,2011,discovered,213,0.9475147486197543,1,2.026402929481172,213,1.0,0.35,0,-1.8562450353623392,-1.0496769241625,0.2938666766766814,False,-9.16577150779989,2.873316324177476,8.601847412137431e-08,
zipf,1.0,0,2011,true,89,0.9558469438547341,4,2.2310418712802784,37,0.4157303370786517,0.94,0,-0.06674636360419806,-0.21796132262935147,0.8274592469762149,False,-16.252873110985686,3.8054616455832466,4.181818269444193e-08,
zipf,1.0,0,2012,discovered,270,0.9471950288577204,1,1.983184652264368,270,1.0,0.59,0,0.8285826789443815,0.6082302123519759,0.5430347993032327,False,-431615.54412888706,592.1406737734205,0.0009052874938788591,
zipf,1.0,0,2012,true,93,0.9450942158525075,3,1.9912692013887552,70,0.7526881720430108,0.57,0,-0.5262217334520654,-0.6107682468774747,0.5413530175549985,False,-5.412727616524896,2.7604729292007386,1.0660383509275562e-07,
zipf,1.0,0,2013,discovered,222,0.9585292876656161,1,1.916113145779259,222,1.0,0.25,0,-1.4829209206727114,-0.8849216855010417,0.37619887118894724,False,-17.33707122382833,4.075652014794377,2.443306357235997e-07,
zipf,1.0,0,2013,true,91,0.9657449013498293,3,1.9695649374359143,53,0.5824175824175825,0.54,0,-0.4591173927594139,-0.5878083481737245,0.5566609399646958,False,-4.654701630992438,2.6650695282633756,3.5657024000101956e-09,
zipf,1.0,0,2014,discovered,371,0.9475242285827765,1,1.9346806236616176,371,1.0,0.03,0,0.4784830767965822,0.29941799287154225,0.7646211352104055,False,-175959.4734436271,388.0655654975888,0.00033531571170897223,
zipf,1.0,0,2014,true,97,0.9427542488377426,5,2.041194904012472,59,0.6082474226804123,0.84,0,-0.22580620151543984,-0.41939969871780003,0.6749240442594254,False,-8.309137129902714,3.25682505440205,5.6450772945026984e-08,
zipf,1.0,0,2015,discovered,519,0.9635984482652344,1,1.7732470356998007,519,1.0,0.13,0,1.373248092308586,0.6231380521801309,0.5331938059194694,False,-187860.93252555968,443.5882248252896,0.0009611796049284749,
zipf,1.0,0,2015,true,100,0.9465609918617741,13,2.102817848730764,51,0.51,0.93,0,-0.03675105587531036,-0.13674315145408378,0.8912338199494976,False,-16.134029911501944,4.258844992690624,9.416986046062448e-06,
zipf,1.0,0,2016,discovered,445,0.950575263509022,8,2.3841478042362785,69,0.1550561797752809,0.93,0,-0.012589071456684309,-0.06774505352411453,0.9459885841410621,False,-59.40791549615203,6.618099431423859,0.0007658054809382975,
zipf,1.0,0,2016,true,100,0.9542863899545254,10,2.19614227347678,48,0.48,1.0,0,-0.01395971186592515,-0.07986947711969924,0.9363410659823648,False,-35.47116347435994,5.659116996051124,0.00024740392896660524,
zipf,1.0,0,2017,discovered,486,0.9587894538817945,1,1.867256990264719,486,1.0,0.01,0,1.2347898256807017,0.5938832036034347,0.552590233868516,False,-389967.5977282409,601.2070124947182,0.0014337477150547784,
zipf,1.0,0,2017,true,100,0.9786706604151353,8,2.1022463608300623,63,0.63,0.99,0,0.013466835452822679,0.05306144948310556,0.9576829470147188,False,-32.624942502236124,5.655142952356526,0.0004948432608671283,
zipf,1.0,1,2010,discovered,123,0.9110179160218943,1,2.1711835399841686,123,1.0,0.13,0,0.1028097614776512,0.15434343535990985,0.8773389511406144,False,-143233.87382530395,311.30779498103914,5.182680797588546e-05,
zipf,1.0,1,2010,true,60,0.9588579439536344,3,2.327299502977394,26,0.43333333333333335,0.95,0,-0.10146092793230821,-0.28311988814239086,0.7770849365147557,False,-9.084826401907364,2.8071807180652635,6.582467904081568e-11,
zipf,1.0,1,2011,discovered,189,0.9329789462148006,1,2.0858314636370987,189,1.0,0.15,0,0.13459597551461355,0.11720866741037037,0.9066946986634854,False,-367744.46158167685,518.7878070929396,0.0005932342128289747,
zipf,1.0,1,2011,true,78,0.9657107217153295,3,2.0529775931214034,43,0.5512820512820513,0.21,0,-0.10269972778888858,-0.20381257717405404,0.8384999639735329,False,-11.052853739253113,3.469206953737107,1.337092214725999e-08,
zipf,1.0,1,2012,discovered,311,0.9505844089787956,1,2.0290673019845396,311,1.0,0.13,0,-2.2274362027980246,-1.1390338579488346,0.2546890326379817,False,-14.010881783960091,3.462462836208424,1.7598722479306161e-10,
zipf,1.0,1,2012,true,93,0.9353824061197468,5,2.172557940209976,49,0.5268817204301075,0.36,0,-0.027226599566049225,-0.08735333218420634,0.9303906630399114,False,-26.963394985829545,4.935256876082614,4.8917670454784457e-05,
zipf,1.0,1,2013,discovered,275,0.9441882568698375,1,2.0735675736060046,275,1.0,0.34,0,-1.4245722016803208,-0.891326887074527,0.37275382842255256,False,-31.5088742800923,4.937546689273983,3.1816952173358004e-05,
