kind,config,sweep,policy,law,level,statistic,auc,lo,hi,r2_zipf,r2_law,cuts_zipf,cuts_law,share_zipf,share_law
finch,primary,rep1000,skip,uniform,repeats=1,observed_mean_r2,0.9855555555555555,0.9577777777777777,1.0,0.9228711718503102,0.8914472913403996,11.396777777777777,10.826222222222222,0.7666666666666667,0.7666666666666667
finch,primary,rep1000,skip,uniform,repeats=1,shuffle_z,0.36,0.22219444444444444,0.5044444444444445,0.9228711718503102,0.8914472913403996,11.396777777777777,10.826222222222222,0.7666666666666667,0.7666666666666667
finch,primary,rep1000,skip,uniform,repeats=1,rotate_z,0.6166666666666667,0.4721944444444444,0.7566666666666667,0.9228711718503102,0.8914472913403996,11.396777777777777,10.826222222222222,0.7666666666666667,0.7666666666666667
finch,primary,rep1000,skip,uniform,repeats=1,bigram_z,0.3477777777777778,0.21886111111111112,0.4888888888888889,0.9228711718503102,0.8914472913403996,11.396777777777777,10.826222222222222,0.7666666666666667,0.7666666666666667
finch,primary,rep1000,skip,uniform,repeats=1,observed_mean_slope,0.19444444444444445,0.09,0.31555555555555553,0.9228711718503102,0.8914472913403996,11.396777777777777,10.826222222222222,0.7666666666666667,0.7666666666666667
finch,primary,rep1000,skip,uniform,repeats=1,observed_mean_unit_types,0.15611111111111112,0.06554166666666668,0.25666666666666665,0.9228711718503102,0.8914472913403996,11.396777777777777,10.826222222222222,0.7666666666666667,0.7666666666666667
finch,primary,rep1000,skip,lognormal,repeats=1,observed_mean_r2,0.6355555555555555,0.49333333333333335,0.77,0.9228711718503102,0.917248062650947,11.396777777777777,11.154555555555554,0.7666666666666667,0.7
finch,primary,rep1000,skip,lognormal,repeats=1,shuffle_z,0.6033333333333334,0.45444444444444443,0.7477777777777778,0.9228711718503102,0.917248062650947,11.396777777777777,11.154555555555554,0.7666666666666667,0.7
finch,primary,rep1000,skip,lognormal,repeats=1,rotate_z,0.6255555555555555,0.46775,0.7622222222222222,0.9228711718503102,0.917248062650947,11.396777777777777,11.154555555555554,0.7666666666666667,0.7
finch,primary,rep1000,skip,lognormal,repeats=1,bigram_z,0.5922222222222222,0.44775,0.7389166666666666,0.9228711718503102,0.917248062650947,11.396777777777777,11.154555555555554,0.7666666666666667,0.7
finch,primary,rep1000,skip,lognormal,repeats=1,observed_mean_slope,0.5922222222222222,0.44219444444444445,0.7311388888888888,0.9228711718503102,0.917248062650947,11.396777777777777,11.154555555555554,0.7666666666666667,0.7
finch,primary,rep1000,skip,lognormal,repeats=1,observed_mean_unit_types,0.7,0.563875,0.8239027777777777,0.9228711718503102,0.917248062650947,11.396777777777777,11.154555555555554,0.7666666666666667,0.7
finch,primary,rep1000,skip,geometric,repeats=1,observed_mean_r2,0.6311111111111111,0.4799722222222222,0.7688888888888888,0.9228711718503102,0.9154585379838294,11.396777777777777,11.539777777777779,0.7666666666666667,0.5333333333333333
finch,primary,rep1000,skip,geometric,repeats=1,shuffle_z,0.6422222222222222,0.49333333333333335,0.7777777777777778,0.9228711718503102,0.9154585379838294,11.396777777777777,11.539777777777779,0.7666666666666667,0.5333333333333333
finch,primary,rep1000,skip,geometric,repeats=1,rotate_z,0.7211111111111111,0.5911111111111111,0.8444444444444444,0.9228711718503102,0.9154585379838294,11.396777777777777,11.539777777777779,0.7666666666666667,0.5333333333333333
finch,primary,rep1000,skip,geometric,repeats=1,bigram_z,0.6566666666666666,0.5077777777777778,0.7955833333333332,0.9228711718503102,0.9154585379838294,11.396777777777777,11.539777777777779,0.7666666666666667,0.5333333333333333
finch,primary,rep1000,skip,geometric,repeats=1,observed_mean_slope,0.6766666666666666,0.5355555555555556,0.8066666666666666,0.9228711718503102,0.9154585379838294,11.396777777777777,11.539777777777779,0.7666666666666667,0.5333333333333333
finch,primary,rep1000,skip,geometric,repeats=1,observed_mean_unit_types,0.69,0.5511111111111111,0.8088888888888889,0.9228711718503102,0.9154585379838294,11.396777777777777,11.539777777777779,0.7666666666666667,0.5333333333333333
finch,primary,rep1000,zero,uniform,repeats=1,observed_mean_r2,0.9855555555555555,0.9588888888888889,1.0,0.9228711718503102,0.8914472913403996,11.396777777777777,10.826222222222222,0.7666666666666667,0.7666666666666667
finch,primary,rep1000,zero,uniform,repeats=1,shuffle_z,0.4633333333333333,0.31777777777777777,0.6133333333333333,0.9228711718503102,0.8914472913403996,11.396777777777777,10.826222222222222,0.7666666666666667,0.7666666666666667
finch,primary,rep1000,zero,uniform,repeats=1,rotate_z,0.6233333333333333,0.47775,0.7711388888888887,0.9228711718503102,0.8914472913403996,11.396777777777777,10.826222222222222,0.7666666666666667,0.7666666666666667
