regime,structure,undefined_policy,law,stickiness,dataset,threshold,n_themes,variants_per_theme,phrases_per_cycle,zipf_exponent,lognormal_sigma,geometric_tail,observed_mean_r2,observed_undefined_groups,observed_mean_slope,observed_mean_unit_types,boundary_f1,cuts_per_sequence,elements_total,n_groups,shuffle_mean,shuffle_sd,shuffle_z,shuffle_p,shuffle_undefined_rate,shuffle_dropped_replicates,rotate_mean,rotate_sd,rotate_z,rotate_p,rotate_undefined_rate,rotate_dropped_replicates,bigram_mean,bigram_sd,bigram_z,bigram_p,bigram_undefined_rate,bigram_dropped_replicates
whale,song,skip,zipf,0.0,0,0.5,12,3,40.0,1.0,1.0,0.05,0.9039758925900596,0,-1.1296030469657792,145.5,0.5413916980385954,183.03636363636363,45832,8,0.6502869579608053,0.010760999453888536,23.574848759757412,0.004975124378109453,0.0,0,0.8871896066218684,0.004646579897847029,3.6126110681899717,0.004975124378109453,0.0,0,0.898593656521775,0.005090173593480767,1.0573777042059778,0.11442786069651742,0.0,0
whale,song,skip,zipf,0.0,1,0.5,12,3,40.0,1.0,1.0,0.05,0.9143584566508407,0,-1.0556445428627321,164.75,0.5258914108951472,174.5818181818182,45759,8,0.6401107942864656,0.012910720816072599,21.2418552202727,0.004975124378109453,0.0,0,0.8574174884211181,0.007497160941597218,7.595004118664649,0.004975124378109453,0.0,0,0.8947605902281611,0.005018897256969093,3.904815225190465,0.004975124378109453,0.0,0
whale,song,skip,zipf,0.0,2,0.5,12,3,40.0,1.0,1.0,0.05,0.9280307344408776,0,-1.1405398114377885,156.25,0.5493708395812005,191.2,46006,8,0.6478752828233896,0.01032709636128464,27.128191876640727,0.004975124378109453,0.0,0,0.87403946159004,0.005100470601049148,10.585547310032881,0.004975124378109453,0.0,0,0.8925278414710732,0.006203259741262033,5.723263969369339,0.004975124378109453,0.0,0
whale,song,skip,zipf,0.0,3,0.5,12,3,40.0,1.0,1.0,0.05,0.905995693264873,0,-1.172377561562917,134.0,0.5818216844392387,215.6727272727273,45763,8,0.6608510574031008,0.010753371223348492,22.797002983538455,0.004975124378109453,0.0,0,0.8917660783124367,0.005235722083122326,2.7177941698445545,0.009950248756218905,0.0,0,0.89687867851789,0.006097083838803236,1.495307426963712,0.08955223880597014,0.0,0
whale,song,skip,zipf,0.0,4,0.5,12,3,40.0,1.0,1.0,0.05,0.8976460841391682,0,-1.1542133930829144,136.0,0.5984077956045724,195.9090909090909,45960,8,0.6719833397629449,0.009739409318567763,23.17006473339272,0.004975124378109453,0.0,0,0.8813179137469445,0.005793732560717716,2.8182471698695535,0.009950248756218905,0.0,0,0.8908615472122574,0.00606103525949361,1.119369321649132,0.12437810945273632,0.0,0
whale,song,skip,zipf,0.0,5,0.5,12,3,40.0,1.0,1.0,0.05,0.9265114842541397,0,-1.133749573636712,148.875,0.48635577008728376,182.9090909090909,45725,8,0.686490131043509,0.00853257367113895,28.130006544507456,0.004975124378109453,0.0,0,0.8907142107106663,0.0047484487828852685,7.5387300527483285,0.004975124378109453,0.0,0,0.8924910140081,0.007396354768895025,4.599626614600867,0.004975124378109453,0.0,0
whale,song,skip,zipf,0.0,6,0.5,12,3,40.0,1.0,1.0,0.05,0.9192115768331932,0,-1.1599247099035785,138.875,0.5739215061606036,188.3272727272727,45554,8,0.65415807253315,0.010023080533937065,26.4443155377831,0.004975124378109453,0.0,0,0.8698621801237877,0.006405799059478939,7.7038627423663995,0.004975124378109453,0.0,0,0.8992983946607509,0.004561625028560356,4.36537024585883,0.004975124378109453,0.0,0
whale,song,skip,zipf,0.0,7,0.5,12,3,40.0,1.0,1.0,0.05,0.9169454025549948,0,-1.126182500426969,156.125,0.5182611425820729,186.4,45676,8,0.6668614535095023,0.010347265356849924,24.169086267796935,0.004975124378109453,0.0,0,0.8815172007137752,0.005781599256266228,6.127751210501446,0.004975124378109453,0.0,0,0.8970269898641781,0.005268737038819911,3.780490949549847,0.004975124378109453,0.0,0
whale,song,skip,zipf,0.0,8,0.5,12,3,40.0,1.0,1.0,0.05,0.9152628214959904,0,-1.0897674318939978,152.625,0.5676077052408747,166.23636363636365,45587,8,0.6349714302663335,0.012458469619962283,22.498059535381795,0.004975124378109453,0.0,0,0.8577710635140059,0.007862543546824165,7.312106780662158,0.004975124378109453,0.0,0,0.890190758188972,0.005994325575712426,4.182632890112675,0.004975124378109453,0.0,0
whale,song,skip,zipf,0.0,9,0.5,12,3,40.0,1.0,1.0,0.05,0.9155767365148038,0,-1.0951117241225514,161.5,0.5506227199068601,194.74545454545455,45622,8,0.6533038164594628,0.01022581100227278,25.648129033193396,0.004975124378109453,0.0,0,0.8725118919773271,0.0062676280208694675,6.870995597390686,0.004975124378109453,0.0,0,0.8909717621852437,0.005409167828464597,4.548754098566078,0.004975124378109453,0.0,0
