regime,structure,undefined_policy,law,stickiness,dataset,threshold,n_themes,variants_per_theme,phrases_per_cycle,zipf_exponent,lognormal_sigma,geometric_tail,observed_mean_r2,observed_undefined_groups,observed_mean_slope,observed_mean_unit_types,boundary_f1,cuts_per_sequence,elements_total,n_groups,shuffle_mean,shuffle_sd,shuffle_z,shuffle_p,shuffle_undefined_rate,shuffle_dropped_replicates,rotate_mean,rotate_sd,rotate_z,rotate_p,rotate_undefined_rate,rotate_dropped_replicates,bigram_mean,bigram_sd,bigram_z,bigram_p,bigram_undefined_rate,bigram_dropped_replicates
whale,song,skip,zipf,0.0,0,0.75,8,3,40.0,1.0,1.0,0.05,0.855138767291628,0,-1.295840071713231,87.125,0.5499838758321696,272.09090909090907,45732,8,0.846570221820629,0.00467171641984184,1.834132190602663,0.03980099502487562,0.0,0,0.9353039454647184,0.0028627136592598943,-28.003212236677477,1.0,0.0,0,0.9474619566726616,0.0027268493321858907,-33.857092246099924,1.0,0.0,0
whale,song,skip,zipf,0.0,1,0.75,8,3,40.0,1.0,1.0,0.05,0.8303501828666544,0,-1.3366873341066732,74.5,0.6347821488400988,310.56363636363636,45668,8,0.8434005922644096,0.005349375497208156,-2.4396136342580865,0.9900497512437811,0.0,0,0.9408779984389245,0.0024720456026572396,-44.71107468788685,1.0,0.0,0,0.9540327957945814,0.0027290303626473847,-45.32108349573095,1.0,0.0,0
whale,song,skip,zipf,0.0,2,0.75,8,3,40.0,1.0,1.0,0.05,0.8621712226360707,0,-1.345902707271851,75.875,0.639234427929933,304.27272727272725,45814,8,0.8389502816358396,0.005061276826700261,4.587961061076788,0.004975124378109453,0.0,0,0.9309762258959086,0.0035145498735065644,-19.577187900648333,1.0,0.0,0,0.9512654551001813,0.003036945523874756,-29.336789798730972,1.0,0.0,0
whale,song,skip,zipf,0.0,3,0.75,8,3,40.0,1.0,1.0,0.05,0.8799889118667656,0,-1.3504578654685613,85.5,0.559139383203595,273.6909090909091,45646,8,0.8363191535164674,0.005391264726348609,8.100095351814584,0.004975124378109453,0.0,0,0.9319426531846249,0.003229243874577734,-16.088515868022778,1.0,0.0,0,0.952174226811428,0.0026578576964027298,-27.159209856254314,1.0,0.0,0
whale,song,skip,zipf,0.0,4,0.75,8,3,40.0,1.0,1.0,0.05,0.864024004956804,0,-1.3608598204936289,77.625,0.5797255623308939,308.56363636363636,45835,8,0.8437519900293405,0.004851640747912952,4.178383351278416,0.004975124378109453,0.0,0,0.9371927343807096,0.0028307912411242734,-25.847448007097135,1.0,0.0,0,0.9500315036925709,0.00236351492502154,-36.38965754996581,1.0,0.0,0
whale,song,skip,zipf,0.0,5,0.75,8,3,40.0,1.0,1.0,0.05,0.8503543160747633,0,-1.3330791404789788,80.25,0.5941494059781453,309.41818181818184,45617,8,0.8409604677943662,0.00499878416304178,1.8792266227155803,0.03482587064676617,0.0,0,0.9331316710631451,0.003079367792899988,-26.881282313609702,1.0,0.0,0,0.9488340613095471,0.0028021199896652695,-35.144728133697,1.0,0.0,0
whale,song,skip,zipf,0.0,6,0.75,8,3,40.0,1.0,1.0,0.05,0.8637840266587481,0,-1.3335107570890101,75.0,0.5924143594104901,319.92727272727274,45496,8,0.8491943288571381,0.00466714531413712,3.126043184774377,0.004975124378109453,0.0,0,0.9322605103814188,0.003099714039674532,-22.09122610867055,1.0,0.0,0,0.9507076437397407,0.002724896903523794,-31.89978195820339,1.0,0.0,0
whale,song,skip,zipf,0.0,7,0.75,8,3,40.0,1.0,1.0,0.05,0.844787281036921,0,-1.3408089590925387,79.75,0.6204278700358012,291.94545454545454,46076,8,0.8407978836601844,0.004733632111494653,0.8427772337966899,0.19900497512437812,0.0,0,0.9383338545098002,0.0020393650504273155,-45.870440632135995,1.0,0.0,0,0.9521483308894161,0.0024422206711835967,-43.96042139814649,1.0,0.0,0
whale,song,skip,zipf,0.0,8,0.75,8,3,40.0,1.0,1.0,0.05,0.8328354398945234,0,-1.3076102997754704,85.875,0.6057295363406815,298.54545454545456,45737,8,0.841845216632122,0.005305244392334773,-1.6982774159502059,0.9502487562189055,0.0,0,0.93494706456583,0.002484123268760885,-41.1056995260309,1.0,0.0,0,0.9490493403366519,0.002375850829960144,-48.91464521957301,1.0,0.0,0
whale,song,skip,zipf,0.0,9,0.75,8,3,40.0,1.0,1.0,0.05,0.8672715353944865,0,-1.3737542517103893,82.875,0.5812548136833823,301.0,45524,8,0.8420321737305185,0.004921254376765983,5.128643986201365,0.004975124378109453,0.0,0,0.9377714731637491,0.0030320459904880793,-23.251605678287856,1.0,0.0,0,0.9507332119218312,0.002375583988534067,-35.13311965823087,1.0,0.0,0
whale,song,skip,zipf,0.0,10,0.75,8,3,40.0,1.0,1.0,0.05,0.8611682792094804,0,-1.3630094544306446,80.0,0.5598869853374782,293.8727272727273,45612,8,0.841195039048911,0.00491336321534582,4.06508521458118,0.004975124378109453,0.0,0,0.9382557103757274,0.0028390264131407344,-27.152769981089193,1.0,0.0,0,0.9535892305036497,0.0023266441785415367,-39.72285583956534,1.0,0.0,0
whale,song,skip,zipf,0.0,11,0.75,8,3,40.0,1.0,1.0,0.05,0.8736889470523665,0,-1.3154023959307843,85.0,0.5778237114393626,284.92727272727274,45888,8,0.842183573820356,0.004972333432644185,6.336134464590121,0.004975124378109453,0.0,0,0.9354945406028611,0.002978719487407719,-20.749047975740037,1.0,0.0,0,0.9529126631861761,0.002700869404830791,-29.332671913758404,1.0,0.0,0
whale,song,skip,zipf,0.0,12,0.75,8,3,40.0,1.0,1.0,0.05,0.8572582624762553,0,-1.2840277563511817,85.75,0.5927078996058478,282.6727272727273,45737,8,0.8401565225458489,0.005395365193223553,3.1697094298427992,0.004975124378109453,0.0,0,0.9309312303979697,0.0033806284009424512,-21.792684431443533,1.0,0.0,0,0.9497339509310107,0.0032642580364137643,-28.329772776282308,1.0,0.0,0
whale,song,skip,zipf,0.0,13,0.75,8,3,40.0,1.0,1.0,0.05,0.8469405930520058,0,-1.3213042478248165,83.125,0.5888718382738573,305.8,45984,8,0.8374043264719905,0.0054036017176357825,1.7647981991144308,0.04477611940298507,0.0,0,0.9394376191595282,0.0025030369249756986,-36.953919930054745,1.0,0.0,0,0.9500586218495726,0.002697158052217188,-38.23210460832989,1.0,0.0,0
whale,song,skip,zipf,0.0,14,0.75,8,3,40.0,1.0,1.0,0.05,0.8603792252517449,0,-1.3055967032933395,82.25,0.5809369988194729,286.8181818181818,46024,8,0.8257962703860926,0.0053900022869077455,6.416129905854388,0.004975124378109453,0.0,0,0.9342323542719063,0.0028348959023647012,-26.05144300309493,1.0,0.0,0,0.9487710324320399,0.002776406876146468,-31.83676281013211,1.0,0.0,0
whale,song,skip,zipf,0.0,15,0.75,8,3,40.0,1.0,1.0,0.05,0.860443517953084,0,-1.2894020569779614,74.0,0.5471490934091362,294.6363636363636,45798,8,0.8506110612223177,0.005031034452350805,1.954360842464925,0.03482587064676617,0.0,0,0.9409630171622776,0.0026507996723359683,-30.375550461056616,1.0,0.0,0,0.9507544040364679,0.00221067316278153,-40.85221081245327,1.0,0.0,0
whale,song,skip,zipf,0.0,16,0.75,8,3,40.0,1.0,1.0,0.05,0.8539053236735923,0,-1.3258439984952255,82.5,0.5729744232647865,303.1818181818182,45933,8,0.8378569396093851,0.005101115450128832,3.146053881960632,0.009950248756218905,0.0,0,0.9403678377442772,0.0025332446049390186,-34.13113518612085,1.0,0.0,0,0.9503238380098523,0.002414154231970867,-39.93883781714555,1.0,0.0,0
whale,song,skip,zipf,0.0,17,0.75,8,3,40.0,1.0,1.0,0.05,0.8487718064517902,0,-1.3592421647256718,80.125,0.5960563844405151,313.54545454545456,45475,8,0.8497064840071121,0.0047828232829902504,-0.19542381142244164,0.5870646766169154,0.0,0,0.9369320286242148,0.0027082657234503305,-32.55227927195728,1.0,0.0,0,0.9515351443018809,0.0025865362136762004,-39.73009823204251,1.0,0.0,0
whale,song,skip,zipf,0.0,18,0.75,8,3,40.0,1.0,1.0,0.05,0.8496555683134037,0,-1.2514561330790506,84.0,0.5123036417429556,278.54545454545456,45656,8,0.8442577805648662,0.005276519508022433,1.0229826195716112,0.16417910447761194,0.0,0,0.9309335404635286,0.0038113911271175313,-21.32501478839134,1.0,0.0,0,0.9503520242035441,0.0032370301484266548,-31.107666988855055,1.0,0.0,0
whale,song,skip,zipf,0.0,19,0.75,8,3,40.0,1.0,1.0,0.05,0.8393087572097908,0,-1.3201616514589205,73.375,0.5804738523084623,313.43636363636364,45645,8,0.8405558130715244,0.005205505877080427,-0.2395647783675152,0.5920398009950248,0.0,0,0.9402367152522363,0.0026940383788188315,-37.463444780878035,1.0,0.0,0,0.9512444058186249,0.0023115194172127944,-48.425138796283576,1.0,0.0,0
whale,song,skip,zipf,0.0,20,0.75,8,3,40.0,1.0,1.0,0.05,0.8595489504408527,0,-1.3542675151681274,85.375,0.6171691346319494,307.1454545454545,45543,8,0.830810650348123,0.005276033848944095,5.446951425165927,0.004975124378109453,0.0,0,0.9375378756094201,0.0025881774046697097,-30.132758684878496,1.0,0.0,0,0.9529917367318821,0.002478112023437518,-37.70724866643037,1.0,0.0,0
whale,song,skip,zipf,0.0,21,0.75,8,3,40.0,1.0,1.0,0.05,0.8416776472833101,0,-1.2472844933571812,77.875,0.6236275571060778,280.74545454545455,45468,8,0.8290827903122326,0.005048383940269113,2.49482945831692,0.004975124378109453,0.0,0,0.9342634580728247,0.002756313539397883,-33.59044951386048,1.0,0.0,0,0.9432731323974304,0.0030694709441747773,-33.098695821482714,1.0,0.0,0
whale,song,skip,zipf,0.0,22,0.75,8,3,40.0,1.0,1.0,0.05,0.8614804194949669,0,-1.326873694573032,80.625,0.547516333798816,287.8,45700,8,0.8364300852974422,0.004757928729792162,5.264966253208027,0.004975124378109453,0.0,0,0.9334763495207611,0.003466130087577179,-20.771271766120947,1.0,0.0,0,0.9539548433332721,0.0022322663260081993,-41.426250425804035,1.0,0.0,0
whale,song,skip,zipf,0.0,23,0.75,8,3,40.0,1.0,1.0,0.05,0.8253761294340478,0,-1.2317990058402661,69.5,0.5974036789808614,309.8909090909091,45869,8,0.8461281681795555,0.0054585262246508465,-3.801765878084626,1.0,0.0,0,0.9379331412589715,0.0025126435993173863,-44.796250393610244,1.0,0.0,0,0.945715624365854,0.00244322612729936,-49.2543418667614,1.0,0.0,0
whale,song,skip,zipf,0.0,24,0.75,8,3,40.0,1.0,1.0,0.05,0.8634373998417103,0,-1.3457972157839722,84.0,0.6130311886660191,296.7090909090909,45739,8,0.8400442727370984,0.005200653328882276,4.4981131456496435,0.004975124378109453,0.0,0,0.9284397872198596,0.003129275917556537,-20.772341298975572,1.0,0.0,0,0.947211009293484,0.0029279007834002824,-28.6121749503015,1.0,0.0,0
whale,song,skip,zipf,0.0,25,0.75,8,3,40.0,1.0,1.0,0.05,0.8587616206850905,0,-1.3167105733470916,73.375,0.5616364640173213,318.1090909090909,45699,8,0.8422006977691346,0.0053551959621632615,3.0924961538225433,0.004975124378109453,0.0,0,0.9382725551740648,0.003394367432778497,-23.424374662907287,1.0,0.0,0,0.9523310157656844,0.002415562694072069,-38.73606564226983,1.0,0.0,0
whale,song,skip,zipf,0.0,26,0.75,8,3,40.0,1.0,1.0,0.05,0.8589937139720468,0,-1.3284154851529801,71.75,0.6001314657944691,296.1636363636364,46038,8,0.8404777131528698,0.004685883376130033,3.9514429474488946,0.004975124378109453,0.0,0,0.9391640113218616,0.002866945544019508,-27.963662413139026,1.0,0.0,0,0.9518478936451754,0.002876614744399037,-32.27897647883574,1.0,0.0,0
whale,song,skip,zipf,0.0,27,0.75,8,3,40.0,1.0,1.0,0.05,0.8618471371951713,0,-1.2854738041186673,73.875,0.5808680882187669,282.9818181818182,45828,8,0.8412502592080573,0.004680353514068719,4.400709887661607,0.004975124378109453,0.0,0,0.9405435080919883,0.002862987704165157,-27.487498735089666,1.0,0.0,0,0.9531252059282658,0.0023517036969227796,-38.81359239794218,1.0,0.0,0
whale,song,skip,zipf,0.0,28,0.75,8,3,40.0,1.0,1.0,0.05,0.8579852176945049,0,-1.367091307486842,80.25,0.6273830891163954,295.4727272727273,45944,8,0.8336295445882033,0.00535435172908175,4.548762266403911,0.004975124378109453,0.0,0,0.9359308239642212,0.003121436861092646,-24.97106612703735,1.0,0.0,0,0.9460605076562385,0.0026401146375256285,-33.36040363924487,1.0,0.0,0
whale,song,skip,zipf,0.0,29,0.75,8,3,40.0,1.0,1.0,0.05,0.8656360665803371,0,-1.3034390885589666,76.0,0.5523474266995051,294.5272727272727,45773,8,0.839996701759402,0.00557936278485913,4.595393024184293,0.004975124378109453,0.0,0,0.9367638894275229,0.0034831298638206554,-20.420663491761246,1.0,0.0,0,0.9511053500047814,0.0026501496387193826,-32.25073866611741,1.0,0.0,0
whale,song,skip,zipf,0.8,0,0.75,8,3,40.0,1.0,1.0,0.05,0.8498273286175166,0,-1.400808124240993,82.0,0.5056030164634692,262.05454545454546,45796,8,0.8437309418413735,0.004800325747461746,1.2699943913945155,0.12437810945273632,0.0,0,0.9370721740168105,0.0032378461189850553,-26.94533408729193,1.0,0.0,0,0.9504653787457105,0.0023037419648539136,-43.68460168870325,1.0,0.0,0
whale,song,skip,zipf,0.8,1,0.75,8,3,40.0,1.0,1.0,0.05,0.8636220528471863,0,-1.3438212103248306,83.5,0.4796897392372349,246.98181818181817,45906,8,0.8357046226516784,0.005146626221097409,5.424413780248267,0.004975124378109453,0.0,0,0.9338259492945382,0.004327843422771808,-16.221450174920882,1.0,0.0,0,0.9494706176531281,0.0026940160710796804,-31.866389264536316,1.0,0.0,0
whale,song,skip,zipf,0.8,2,0.75,8,3,40.0,1.0,1.0,0.05,0.8744308562948465,0,-1.375488039482172,92.25,0.47008148420221696,248.36363636363637,45429,8,0.839493996319547,0.004831930953426038,7.23041374391491,0.004975124378109453,0.0,0,0.9303983859912489,0.003493661968700353,-16.019732360432798,1.0,0.0,0,0.9496417738098059,0.0024816687389565537,-30.306590212593257,1.0,0.0,0
whale,song,skip,zipf,0.8,3,0.75,8,3,40.0,1.0,1.0,0.05,0.8675661928953791,0,-1.3814708549581853,88.0,0.45163600059005216,258.76363636363635,45419,8,0.8302343823273358,0.00534641188275148,6.982591574824718,0.004975124378109453,0.0,0,0.9329950978412507,0.002984781545861915,-21.92083539131428,1.0,0.0,0,0.949909631770079,0.0026297233039588017,-31.312586670521437,1.0,0.0,0
whale,song,skip,zipf,0.8,4,0.75,8,3,40.0,1.0,1.0,0.05,0.8615330559470716,0,-1.3302157159974066,83.625,0.4803410725020779,269.0181818181818,46041,8,0.8370145398764773,0.005421773087826316,4.522232058299622,0.004975124378109453,0.0,0,0.9362382803140642,0.0037841635919165654,-19.74154196889691,1.0,0.0,0,0.9491004348882316,0.002881033284615736,-30.39443501356127,1.0,0.0,0
whale,song,skip,zipf,0.8,5,0.75,8,3,40.0,1.0,1.0,0.05,0.8808781427381808,0,-1.350358704462073,81.5,0.5113331305976027,276.8,45469,8,0.8312566964794406,0.0057521990543109485,8.626517578794799,0.004975124378109453,0.0,0,0.9329615223569644,0.003037439216481952,-17.147134775953827,1.0,0.0,0,0.9506399605177149,0.0028695394418018034,-24.31115487150448,1.0,0.0,0
whale,song,skip,zipf,0.8,6,0.75,8,3,40.0,1.0,1.0,0.05,0.8552505944782371,0,-1.3522360941047895,79.0,0.42301952317477165,286.8727272727273,45637,8,0.8394312875647765,0.005150328177067073,3.071514352017312,0.004975124378109453,0.0,0,0.93797804418921,0.0033973381134779074,-24.35066718345662,1.0,0.0,0,0.9507540072519922,0.002705871669207891,-35.29487885939265,1.0,0.0,0
whale,song,skip,zipf,0.8,7,0.75,8,3,40.0,1.0,1.0,0.05,0.8725272670971,0,-1.392896245964025,90.0,0.43281267839662374,274.8,45851,8,0.8460361232408357,0.005202540653196369,5.09196287394479,0.004975124378109453,0.0,0,0.9360729840020627,0.0027247937609180903,-23.321294189822144,1.0,0.0,0,0.9465051985208575,0.0035424721519079928,-20.88313704425666,1.0,0.0,0
whale,song,skip,zipf,0.8,8,0.75,8,3,40.0,1.0,1.0,0.05,0.8557573862790477,0,-1.4031418155205388,76.5,0.5174491914693997,310.6181818181818,45911,8,0.8323570607582192,0.005038169478112511,4.6446086465505605,0.004975124378109453,0.0,0,0.9348059896447245,0.0030624939212226545,-25.811840088197727,1.0,0.0,0,0.9524465327497181,0.0026311976004032376,-36.74720076358102,1.0,0.0,0
whale,song,skip,zipf,0.8,9,0.75,8,3,40.0,1.0,1.0,0.05,0.8739933948424781,0,-1.3094289870521059,91.75,0.4037496312251932,255.2,46173,8,0.8389049242174366,0.00507894901300648,6.908608559602553,0.004975124378109453,0.0,0,0.9356203746348342,0.0032384341460636244,-19.029869687875177,1.0,0.0,0,0.947385493491277,0.002558726877342154,-28.683053005264107,1.0,0.0,0
whale,song,skip,zipf,0.8,10,0.75,8,3,40.0,1.0,1.0,0.05,0.8378868451623422,0,-1.3757803816661998,79.0,0.4773260412935941,289.0,46363,8,0.8414573070149881,0.004731154028687131,-0.7546703892954106,0.7960199004975125,0.0,0,0.9320665713123144,0.0030733972826593233,-30.6435248971396,1.0,0.0,0,0.9506210984815137,0.0030267267059466653,-37.2462611499348,1.0,0.0,0
whale,song,skip,zipf,0.8,11,0.75,8,3,40.0,1.0,1.0,0.05,0.8619144358449368,0,-1.452727146652538,84.75,0.4994266598828174,290.6727272727273,45720,8,0.8346649755075655,0.005464925039806043,4.986245948277164,0.004975124378109453,0.0,0,0.9325227194925683,0.0037004007068653596,-19.081253421185394,1.0,0.0,0,0.9478401339935146,0.0027780522237082763,-30.930195413634145,1.0,0.0,0
whale,song,skip,zipf,0.8,12,0.75,8,3,40.0,1.0,1.0,0.05,0.8582451542065974,0,-1.3710278856168212,75.25,0.4416192696947315,289.3636363636364,45536,8,0.8304332550675536,0.0052891721617871965,5.25827072523316,0.004975124378109453,0.0,0,0.9349421265289908,0.0032948488234359834,-23.27784260596548,1.0,0.0,0,0.951692187520837,0.002584204189033859,-36.16085513319132,1.0,0.0,0
whale,song,skip,zipf,0.8,13,0.75,8,3,40.0,1.0,1.0,0.05,0.859628099139492,0,-1.3939493708395234,79.25,0.5203884624023636,305.1090909090909,45977,8,0.847004879543985,0.004951669869184706,2.5492853782648215,0.009950248756218905,0.0,0,0.9308647804626213,0.0035772586614560543,-19.91376304170686,1.0,0.0,0,0.9494648565164349,0.003026882245535661,-29.67963405561706,1.0,0.0,0
whale,song,skip,zipf,0.8,14,0.75,8,3,40.0,1.0,1.0,0.05,0.8627857311816747,0,-1.3311142674088456,84.0,0.4522890752066932,275.58181818181816,45844,8,0.8378099981218271,0.0056971430556081075,4.3839048477573614,0.004975124378109453,0.0,0,0.9340743426910311,0.0031401448610005804,-22.70233211044948,1.0,0.0,0,0.9501306581498339,0.0023620126683738638,-36.97902561559593,1.0,0.0,0
whale,song,skip,zipf,0.8,15,0.75,8,3,40.0,1.0,1.0,0.05,0.8720700702649322,0,-1.3787614416839828,90.25,0.4761518617853027,273.56363636363636,45698,8,0.8403211575159115,0.005245761074514311,6.052298665157988,0.004975124378109453,0.0,0,0.9326387827350348,0.003655622840320531,-16.5686437348093,1.0,0.0,0,0.9444745882860446,0.002570799992657439,-28.164197225731176,1.0,0.0,0
whale,song,skip,zipf,0.8,16,0.75,8,3,40.0,1.0,1.0,0.05,0.8675743926378932,0,-1.3614849272619585,79.75,0.4362410203239051,259.4,46225,8,0.8401125272539289,0.005032410272598684,5.45700050202449,0.004975124378109453,0.0,0,0.9330778921750172,0.004027689593804241,-16.263293883890043,1.0,0.0,0,0.951139898213248,0.002543607861384833,-32.85314015732704,1.0,0.0,0
whale,song,skip,zipf,0.8,17,0.75,8,3,40.0,1.0,1.0,0.05,0.8650055235428522,0,-1.3202216141457441,80.125,0.479643827381314,259.09090909090907,45864,8,0.8379697447565421,0.005509908032687522,4.906756814436905,0.004975124378109453,0.0,0,0.9348289948659747,0.0037250387523638227,-18.74436105632838,1.0,0.0,0,0.9488734433307198,0.002457523135987891,-34.12701128209472,1.0,0.0,0
whale,song,skip,zipf,0.8,18,0.75,8,3,40.0,1.0,1.0,0.05,0.8645964647825783,0,-1.3688866383507958,86.125,0.4621968321850835,273.96363636363634,45772,8,0.8468296659216636,0.004822080689587661,3.684467350220544,0.004975124378109453,0.0,0,0.9301083682318767,0.0032402805424967644,-20.217972669372276,1.0,0.0,0,0.9503039398307683,0.0024878322741913005,-34.450664515175255,1.0,0.0,0
whale,song,skip,zipf,0.8,19,0.75,8,3,40.0,1.0,1.0,0.05,0.8632685014997925,0,-1.3337359173550645,81.25,0.4753864371124931,256.23636363636365,45443,8,0.8296364786147364,0.005738981154370245,5.860277631238643,0.004975124378109453,0.0,0,0.9287148230344623,0.0033420117789320393,-19.582911690270453,1.0,0.0,0,0.9488476339305817,0.002657747638277378,-32.19987149955945,1.0,0.0,0
whale,song,skip,zipf,0.8,20,0.75,8,3,40.0,1.0,1.0,0.05,0.8845150562660795,0,-1.3485873852875034,83.625,0.4881073712020441,267.54545454545456,45981,8,0.843001962409604,0.005171128626560551,8.02785945862014,0.004975124378109453,0.0,0,0.9314550680988287,0.004668193952373686,-10.055283116264079,1.0,0.0,0,0.9448809447885154,0.0034366193057233816,-17.56548606413922,1.0,0.0,0
whale,song,skip,zipf,0.8,21,0.75,8,3,40.0,1.0,1.0,0.05,0.8982433601025284,0,-1.3829028703575763,96.125,0.5021523008228435,246.63636363636363,45457,8,0.8336066390401973,0.00528072821335816,12.240115084663072,0.004975124378109453,0.0,0,0.932560061340977,0.0032858982291475583,-10.443628756984126,1.0,0.0,0,0.9495583124827909,0.002374527451547459,-21.610595551052064,1.0,0.0,0
whale,song,skip,zipf,0.8,22,0.75,8,3,40.0,1.0,1.0,0.05,0.85618095112529,0,-1.3380336740034757,88.5,0.4917381156091695,265.5090909090909,45037,8,0.8391854987977816,0.005366587999417084,3.1669008929611273,0.004975124378109453,0.0,0,0.9316652751639554,0.003542706278237883,-21.306966513806138,1.0,0.0,0,0.945627012031855,0.0026896255667505004,-33.25595280335996,1.0,0.0,0
whale,song,skip,zipf,0.8,23,0.75,8,3,40.0,1.0,1.0,0.05,0.894134153803029,0,-1.4163381885694197,96.25,0.4528513718183801,241.8,45714,8,0.8320469597906844,0.0052965445714267785,11.722207408068602,0.004975124378109453,0.0,0,0.9354789001793276,0.0030029892879443534,-13.76786342271652,1.0,0.0,0,0.9486278768302742,0.0024775715532769833,-21.994813007587435,1.0,0.0,0
whale,song,skip,zipf,0.8,24,0.75,8,3,40.0,1.0,1.0,0.05,0.8680804121672738,0,-1.3871033016036198,70.0,0.43349995656312856,310.56363636363636,46034,8,0.8468540095297767,0.005022912460741742,4.225915303800169,0.004975124378109453,0.0,0,0.9378006380732268,0.0027503200413020877,-25.34985923781627,1.0,0.0,0,0.9511036276775624,0.0033045243342437855,-25.12410474631526,1.0,0.0,0
whale,song,skip,zipf,0.8,25,0.75,8,3,40.0,1.0,1.0,0.05,0.8841556645969701,0,-1.4513607783025253,85.0,0.46205203249372173,285.74545454545455,45698,8,0.8439165947173052,0.005415400110120551,7.430488802565914,0.004975124378109453,0.0,0,0.9370766956067107,0.0033356413221723486,-15.865324205564026,1.0,0.0,0,0.9533932140369231,0.0023959573697507628,-28.89765498922685,1.0,0.0,0
