law,mean_repeats,rep,n_elements_total,true_word_types,true_r2,threshold,pipeline_r2,n_unit_types,n_units,boundary_f1,shuffle_mean,shuffle_sd,shuffle_z,shuffle_p,rotate_mean,rotate_sd,rotate_z,rotate_p,bigram_mean,bigram_sd,bigram_z,bigram_p
zipf,1.0,0,5809,98,0.9385328030285198,0.25,0.8774710051840835,402,1043,0.721953868698841,,,,,,,,,,,,
zipf,1.0,0,5809,98,0.9385328030285198,0.5,0.9540519165045535,355,1416,0.7450666034766893,0.7008743759309058,0.016007546040771262,15.816136959956495,0.004975124378109453,0.7776249908867408,0.014982317416761967,11.775676666710398,0.004975124378109453,0.8749013631843723,0.010927541782602558,7.2432167174317845,0.004975124378109453
zipf,1.0,0,5809,98,0.9385328030285198,0.75,0.9703384514275338,314,2068,0.6629569190535053,,,,,,,,,,,,
zipf,1.0,1,6460,100,0.9313783673549877,0.25,0.9100460875588093,417,1094,0.653961244771098,,,,,,,,,,,,
zipf,1.0,1,6460,100,0.9313783673549877,0.5,0.957218214937602,361,1770,0.6427339106668484,0.6356632078286338,0.019530237935446185,16.464469515006034,0.004975124378109453,0.8285493126429543,0.015052189865843649,8.548184911394353,0.004975124378109453,0.9001363810507098,0.00847122075762868,6.738324442257938,0.004975124378109453
zipf,1.0,1,6460,100,0.9313783673549877,0.75,0.949119607035687,321,2097,0.6243378900401872,,,,,,,,,,,,
zipf,1.0,2,5144,99,0.9443056756451202,0.25,0.9292129029566305,341,1040,0.7608497313809667,,,,,,,,,,,,
zipf,1.0,2,5144,99,0.9443056756451202,0.5,0.9658747539645816,320,1430,0.7729461808338857,0.6467220302584902,0.020187923934512075,15.809090857554047,0.004975124378109453,0.8143464434302123,0.011152505127157986,13.586930362881033,0.004975124378109453,0.884368719021777,0.010317594115912852,7.899713249729173,0.004975124378109453
zipf,1.0,2,5144,99,0.9443056756451202,0.75,0.9671777216460287,306,1813,0.7359580341682719,,,,,,,,,,,,
zipf,1.0,3,4940,99,0.9195900930903451,0.25,0.8573764141578494,407,935,0.6995198587011899,,,,,,,,,,,,
zipf,1.0,3,4940,99,0.9195900930903451,0.5,0.9495773322158518,359,1415,0.7039405586416768,0.6670425228288667,0.02047901526473066,13.796308354414474,0.004975124378109453,0.8197233544730619,0.01208469174640601,10.745328095059483,0.004975124378109453,0.8870341377499859,0.009922199521418972,6.303359888183511,0.004975124378109453
zipf,1.0,3,4940,99,0.9195900930903451,0.75,0.959625214547813,315,1931,0.6603215263871498,,,,,,,,,,,,
zipf,1.0,4,5944,100,0.9412951226691708,0.25,0.8830711136076287,384,933,0.6912585626240535,,,,,,,,,,,,
zipf,1.0,4,5944,100,0.9412951226691708,0.5,0.9578404699608111,338,1567,0.7382763377709166,0.6218039413234844,0.02252916427964593,14.915623343424254,0.004975124378109453,0.8166395931722801,0.01578479190211368,8.945374615272778,0.004975124378109453,0.8811269326814011,0.0104494823530335,7.341372011326469,0.004975124378109453
zipf,1.0,4,5944,100,0.9412951226691708,0.75,0.9704135784952778,320,1978,0.6963071685647204,,,,,,,,,,,,
zipf,1.0,5,6400,100,0.948547183528138,0.25,0.9103493164685519,410,1062,0.6749092148589024,,,,,,,,,,,,
zipf,1.0,5,6400,100,0.948547183528138,0.5,0.9507986572660043,363,1567,0.6895394477036153,0.6669480519423273,0.017800755175537867,15.945986702505175,0.004975124378109453,0.7994770709986131,0.014341280965973924,10.551469330139778,0.004975124378109453,0.8776109405520134,0.009818413609171569,7.454128500517118,0.004975124378109453
zipf,1.0,5,6400,100,0.948547183528138,0.75,0.9408724298204553,286,2078,0.6845237653686612,,,,,,,,,,,,
zipf,1.0,6,5951,100,0.9358232905181783,0.25,0.8881464852271906,437,963,0.6052748302554889,,,,,,,,,,,,
zipf,1.0,6,5951,100,0.9358232905181783,0.5,0.9536815465844312,383,1607,0.6321281100617028,0.6752342154980514,0.01738711558226137,16.01457871312804,0.004975124378109453,0.81878241269204,0.011415121430529026,11.817582030412037,0.004975124378109453,0.8835488588468966,0.009642084521231708,7.273602257178265,0.004975124378109453
zipf,1.0,6,5951,100,0.9358232905181783,0.75,0.9618675293317662,339,2119,0.6232976895924771,,,,,,,,,,,,
zipf,1.0,7,5558,98,0.9538352180250551,0.25,0.9004665403289333,371,1005,0.7227716150673598,,,,,,,,,,,,
zipf,1.0,7,5558,98,0.9538352180250551,0.5,0.960788511667723,320,1462,0.7802712170987143,0.6249815103752847,0.020340172123202712,16.509545703862166,0.004975124378109453,0.7968692499730959,0.01349560025249434,12.146126043139915,0.004975124378109453,0.8933800351906339,0.01061114504743469,6.352610974193172,0.004975124378109453
zipf,1.0,7,5558,98,0.9538352180250551,0.75,0.9653669787779773,281,2210,0.6750959605024229,,,,,,,,,,,,
