regime,alternative,statistic,auc,ci_low,ci_high
"whale, independent words, m = 1",uniform,observed_mean_r2,1.0,1.0,1.0
"whale, independent words, m = 1",uniform,shuffle_z,0.8933333333333333,0.8033333333333333,0.9600277777777776
"whale, independent words, m = 1",uniform,rotate_z,0.9988888888888889,0.9933333333333333,1.0
"whale, independent words, m = 1",uniform,bigram_z,0.8688888888888889,0.7610833333333333,0.9589166666666665
"whale, independent words, m = 1",lognormal,observed_mean_r2,1.0,1.0,1.0
"whale, independent words, m = 1",lognormal,shuffle_z,0.5811111111111111,0.42444444444444446,0.723361111111111
"whale, independent words, m = 1",lognormal,rotate_z,0.5911111111111111,0.4388888888888889,0.7366944444444443
"whale, independent words, m = 1",lognormal,bigram_z,0.5066666666666667,0.35,0.6555555555555556
"whale, independent words, m = 1",geometric,observed_mean_r2,1.0,1.0,1.0
"whale, independent words, m = 1",geometric,shuffle_z,0.6188888888888889,0.4766666666666667,0.7555555555555555
"whale, independent words, m = 1",geometric,rotate_z,0.8755555555555555,0.7822222222222223,0.9533333333333334
"whale, independent words, m = 1",geometric,bigram_z,0.7733333333333333,0.6455555555555555,0.8866944444444443
"whale, independent words, m = 5",uniform,observed_mean_r2,1.0,1.0,1.0
"whale, independent words, m = 5",uniform,shuffle_z,0.2966666666666667,0.17327777777777778,0.43005555555555525
"whale, independent words, m = 5",uniform,rotate_z,0.5944444444444444,0.4488611111111111,0.7277777777777777
"whale, independent words, m = 5",uniform,bigram_z,0.0,0.0,0.0
"whale, independent words, m = 5",lognormal,observed_mean_r2,0.9433333333333334,0.8733055555555556,0.9911111111111112
"whale, independent words, m = 5",lognormal,shuffle_z,0.3188888888888889,0.1866388888888889,0.4533333333333333
"whale, independent words, m = 5",lognormal,rotate_z,0.5477777777777778,0.40555555555555556,0.6922499999999998
"whale, independent words, m = 5",lognormal,bigram_z,0.08777777777777777,0.03,0.15777777777777777
"whale, independent words, m = 5",geometric,observed_mean_r2,0.9866666666666667,0.9577777777777777,1.0
"whale, independent words, m = 5",geometric,shuffle_z,0.24666666666666667,0.13444444444444445,0.3744722222222221
"whale, independent words, m = 5",geometric,rotate_z,0.46111111111111114,0.3111111111111111,0.6088888888888889
"whale, independent words, m = 5",geometric,bigram_z,0.0,0.0,0.0
finch,uniform,observed_mean_r2,0.9855555555555555,0.9577777777777777,1.0
finch,uniform,shuffle_z,0.4911111111111111,0.3466666666666667,0.6388888888888888
finch,uniform,rotate_z,0.5933333333333334,0.4488611111111111,0.7389166666666666
finch,uniform,bigram_z,0.37555555555555553,0.24,0.5188888888888888
finch,lognormal,observed_mean_r2,0.6355555555555555,0.49333333333333335,0.77
finch,lognormal,shuffle_z,0.6411111111111111,0.49333333333333335,0.7833333333333333
finch,lognormal,rotate_z,0.5666666666666667,0.40994444444444444,0.7089166666666665
finch,lognormal,bigram_z,0.5966666666666667,0.45222222222222225,0.7388888888888889
finch,geometric,observed_mean_r2,0.6311111111111111,0.4799722222222222,0.7688888888888888
finch,geometric,shuffle_z,0.6988888888888889,0.5577777777777778,0.8333888888888886
finch,geometric,rotate_z,0.6644444444444444,0.5233333333333333,0.8
finch,geometric,bigram_z,0.6711111111111111,0.5265833333333333,0.8111388888888887
"whale song, s = 0",uniform,observed_mean_r2,1.0,1.0,1.0
"whale song, s = 0",uniform,shuffle_z,0.9655555555555555,0.9110833333333334,1.0
"whale song, s = 0",uniform,rotate_z,0.9644444444444444,0.9133333333333333,0.9966666666666667
"whale song, s = 0",uniform,bigram_z,0.8044444444444444,0.6788333333333333,0.9133333333333333
"whale song, s = 0",lognormal,observed_mean_r2,0.5033333333333333,0.3588611111111111,0.6489166666666665
"whale song, s = 0",lognormal,shuffle_z,0.3511111111111111,0.2111111111111111,0.49669444444444427
"whale song, s = 0",lognormal,rotate_z,0.43222222222222223,0.2832777777777778,0.5722222222222222
"whale song, s = 0",lognormal,bigram_z,0.4388888888888889,0.2866666666666667,0.58
"whale song, s = 0",geometric,observed_mean_r2,0.6111111111111112,0.46552777777777776,0.7522499999999999
"whale song, s = 0",geometric,shuffle_z,0.2633333333333333,0.14222222222222222,0.3988888888888889
"whale song, s = 0",geometric,rotate_z,0.5055555555555555,0.35777777777777775,0.6578055555555554
"whale song, s = 0",geometric,bigram_z,0.4577777777777778,0.31,0.6077777777777778
"whale song, s = 0.8",uniform,observed_mean_r2,0.9866666666666667,0.9610833333333334,1.0
"whale song, s = 0.8",uniform,shuffle_z,0.34444444444444444,0.2111111111111111,0.48444444444444446
"whale song, s = 0.8",uniform,rotate_z,0.38555555555555554,0.23777777777777778,0.5300277777777777
"whale song, s = 0.8",uniform,bigram_z,0.09444444444444444,0.016666666666666666,0.1922222222222222
"whale song, s = 0.8",lognormal,observed_mean_r2,0.2822222222222222,0.15333333333333332,0.4244722222222221
"whale song, s = 0.8",lognormal,shuffle_z,0.3466666666666667,0.21886111111111112,0.4811111111111111
"whale song, s = 0.8",lognormal,rotate_z,0.27,0.15555555555555556,0.4100277777777776
"whale song, s = 0.8",lognormal,bigram_z,0.37555555555555553,0.22777777777777777,0.5233333333333333
"whale song, s = 0.8",geometric,observed_mean_r2,0.30666666666666664,0.16775,0.4489166666666665
"whale song, s = 0.8",geometric,shuffle_z,0.25,0.13330555555555557,0.3811111111111111
"whale song, s = 0.8",geometric,rotate_z,0.1922222222222222,0.09108333333333334,0.30444444444444446
"whale song, s = 0.8",geometric,bigram_z,0.2611111111111111,0.1388888888888889,0.39555555555555555
