song,stickiness,alternative,statistic,auc,ci_low,ci_high
"8 themes x 3 variants, 40 renditions",0,uniform,observed_mean_r2,1.0,1.0,1.0
"8 themes x 3 variants, 40 renditions",0,uniform,shuffle_z,0.9655555555555555,0.9110833333333334,1.0
"8 themes x 3 variants, 40 renditions",0,uniform,rotate_z,0.9644444444444444,0.9133333333333333,0.9966666666666667
"8 themes x 3 variants, 40 renditions",0,uniform,bigram_z,0.8044444444444444,0.6788333333333333,0.9133333333333333
"8 themes x 3 variants, 40 renditions",0,uniform,observed_mean_slope,0.8455555555555555,0.7355555555555555,0.9277777777777778
"8 themes x 3 variants, 40 renditions",0,lognormal,observed_mean_r2,0.5033333333333333,0.3588611111111111,0.6489166666666665
"8 themes x 3 variants, 40 renditions",0,lognormal,shuffle_z,0.3511111111111111,0.2111111111111111,0.49669444444444427
"8 themes x 3 variants, 40 renditions",0,lognormal,rotate_z,0.43222222222222223,0.2832777777777778,0.5722222222222222
"8 themes x 3 variants, 40 renditions",0,lognormal,bigram_z,0.4388888888888889,0.2866666666666667,0.58
"8 themes x 3 variants, 40 renditions",0,lognormal,observed_mean_slope,0.79,0.6755555555555556,0.89
"8 themes x 3 variants, 40 renditions",0,geometric,observed_mean_r2,0.6111111111111112,0.46552777777777776,0.7522499999999999
"8 themes x 3 variants, 40 renditions",0,geometric,shuffle_z,0.2633333333333333,0.14222222222222222,0.3988888888888889
"8 themes x 3 variants, 40 renditions",0,geometric,rotate_z,0.5055555555555555,0.35777777777777775,0.6578055555555554
"8 themes x 3 variants, 40 renditions",0,geometric,bigram_z,0.4577777777777778,0.31,0.6077777777777778
"8 themes x 3 variants, 40 renditions",0,geometric,observed_mean_slope,0.9244444444444444,0.8510833333333334,0.9766666666666667
"8 themes x 3 variants, 40 renditions",0.8,uniform,observed_mean_r2,0.9866666666666667,0.9610833333333334,1.0
"8 themes x 3 variants, 40 renditions",0.8,uniform,shuffle_z,0.34444444444444444,0.2111111111111111,0.48444444444444446
"8 themes x 3 variants, 40 renditions",0.8,uniform,rotate_z,0.38555555555555554,0.23777777777777778,0.5300277777777777
"8 themes x 3 variants, 40 renditions",0.8,uniform,bigram_z,0.09444444444444444,0.016666666666666666,0.1922222222222222
"8 themes x 3 variants, 40 renditions",0.8,uniform,observed_mean_slope,0.7977777777777778,0.6766388888888889,0.9022222222222223
"8 themes x 3 variants, 40 renditions",0.8,lognormal,observed_mean_r2,0.2822222222222222,0.15333333333333332,0.4244722222222221
"8 themes x 3 variants, 40 renditions",0.8,lognormal,shuffle_z,0.3466666666666667,0.21886111111111112,0.4811111111111111
"8 themes x 3 variants, 40 renditions",0.8,lognormal,rotate_z,0.27,0.15555555555555556,0.4100277777777776
"8 themes x 3 variants, 40 renditions",0.8,lognormal,bigram_z,0.37555555555555553,0.22777777777777777,0.5233333333333333
"8 themes x 3 variants, 40 renditions",0.8,lognormal,observed_mean_slope,0.7611111111111111,0.63775,0.8777777777777778
"8 themes x 3 variants, 40 renditions",0.8,geometric,observed_mean_r2,0.30666666666666664,0.16775,0.4489166666666665
"8 themes x 3 variants, 40 renditions",0.8,geometric,shuffle_z,0.25,0.13330555555555557,0.3811111111111111
"8 themes x 3 variants, 40 renditions",0.8,geometric,rotate_z,0.1922222222222222,0.09108333333333334,0.30444444444444446
"8 themes x 3 variants, 40 renditions",0.8,geometric,bigram_z,0.2611111111111111,0.1388888888888889,0.39555555555555555
"8 themes x 3 variants, 40 renditions",0.8,geometric,observed_mean_slope,0.8344444444444444,0.7266666666666667,0.9266666666666666
4 themes,0,uniform,observed_mean_r2,0.9766666666666667,0.9377777777777778,1.0
4 themes,0,uniform,shuffle_z,0.7977777777777778,0.6721944444444445,0.9033333333333333
4 themes,0,uniform,rotate_z,0.9044444444444445,0.8122222222222222,0.9744444444444444
4 themes,0,uniform,bigram_z,0.7222222222222222,0.5811111111111111,0.8466666666666667
4 themes,0,uniform,observed_mean_slope,0.7488888888888889,0.6033333333333334,0.8711388888888887
4 themes,0,lognormal,observed_mean_r2,0.34555555555555556,0.21441666666666667,0.4922222222222222
4 themes,0,lognormal,shuffle_z,0.31333333333333335,0.18666666666666668,0.4577777777777778
4 themes,0,lognormal,rotate_z,0.30666666666666664,0.18333333333333332,0.4444444444444444
4 themes,0,lognormal,bigram_z,0.31222222222222223,0.17991666666666667,0.4388888888888889
4 themes,0,lognormal,observed_mean_slope,0.6611111111111111,0.5155555555555555,0.7989166666666665
4 themes,0,geometric,observed_mean_r2,0.20333333333333334,0.10327777777777777,0.32002777777777763
4 themes,0,geometric,shuffle_z,0.22444444444444445,0.11886111111111111,0.34894444444444417
4 themes,0,geometric,rotate_z,0.22666666666666666,0.11333333333333333,0.35444444444444445
4 themes,0,geometric,bigram_z,0.2411111111111111,0.12441666666666666,0.3788888888888889
4 themes,0,geometric,observed_mean_slope,0.75,0.6222222222222222,0.8666666666666667
4 themes,0.8,uniform,observed_mean_r2,0.8855555555555555,0.7866666666666666,0.96
4 themes,0.8,uniform,shuffle_z,0.49,0.34555555555555556,0.6366666666666667
4 themes,0.8,uniform,rotate_z,0.5277777777777778,0.38108333333333333,0.6844444444444444
4 themes,0.8,uniform,bigram_z,0.4777777777777778,0.3288611111111111,0.63
4 themes,0.8,uniform,observed_mean_slope,0.7366666666666667,0.61,0.8477777777777777
4 themes,0.8,lognormal,observed_mean_r2,0.3466666666666667,0.20775000000000002,0.4878055555555554
4 themes,0.8,lognormal,shuffle_z,0.38333333333333336,0.24333333333333335,0.5278055555555554
4 themes,0.8,lognormal,rotate_z,0.26666666666666666,0.14777777777777779,0.40224999999999983
4 themes,0.8,lognormal,bigram_z,0.35333333333333333,0.21888888888888888,0.5
4 themes,0.8,lognormal,observed_mean_slope,0.4622222222222222,0.3155,0.6188888888888889
4 themes,0.8,geometric,observed_mean_r2,0.26222222222222225,0.14333333333333334,0.3977777777777778
4 themes,0.8,geometric,shuffle_z,0.2588888888888889,0.14330555555555557,0.3966944444444443
4 themes,0.8,geometric,rotate_z,0.19,0.09222222222222222,0.31333333333333335
4 themes,0.8,geometric,bigram_z,0.33666666666666667,0.2111111111111111,0.4800277777777776
4 themes,0.8,geometric,observed_mean_slope,0.5233333333333333,0.37666666666666665,0.6788888888888889
12 themes,0,uniform,observed_mean_r2,1.0,1.0,1.0
12 themes,0,uniform,shuffle_z,0.9722222222222222,0.93,0.9966666666666667
12 themes,0,uniform,rotate_z,0.99,0.9688888888888889,1.0
12 themes,0,uniform,bigram_z,0.8788888888888889,0.7744444444444445,0.9588888888888889
12 themes,0,uniform,observed_mean_slope,0.8455555555555555,0.7455555555555555,0.9277777777777778
12 themes,0,lognormal,observed_mean_r2,0.5422222222222223,0.39772222222222225,0.6922499999999998
12 themes,0,lognormal,shuffle_z,0.45444444444444443,0.31333333333333335,0.6011111111111112
12 themes,0,lognormal,rotate_z,0.47333333333333333,0.32,0.6255833333333332
12 themes,0,lognormal,bigram_z,0.4111111111111111,0.26555555555555554,0.5511388888888887
12 themes,0,lognormal,observed_mean_slope,0.9188888888888889,0.8422222222222222,0.9755555555555555
12 themes,0,geometric,observed_mean_r2,0.67,0.5311111111111111,0.8011388888888887
12 themes,0,geometric,shuffle_z,0.3566666666666667,0.22886111111111113,0.5011388888888887
12 themes,0,geometric,rotate_z,0.4444444444444444,0.29555555555555557,0.5855555555555556
12 themes,0,geometric,bigram_z,0.3088888888888889,0.17555555555555555,0.44333333333333336
12 themes,0,geometric,observed_mean_slope,0.9933333333333333,0.9766666666666667,1.0
12 themes,0.8,uniform,observed_mean_r2,0.9844444444444445,0.9566666666666667,1.0
12 themes,0.8,uniform,shuffle_z,0.33666666666666667,0.20552777777777778,0.4766944444444443
12 themes,0.8,uniform,rotate_z,0.3233333333333333,0.19333333333333333,0.46447222222222206
12 themes,0.8,uniform,bigram_z,0.0,0.0,0.0
12 themes,0.8,uniform,observed_mean_slope,0.6133333333333333,0.4621944444444444,0.7577777777777778
12 themes,0.8,lognormal,observed_mean_r2,0.4488888888888889,0.30333333333333334,0.5944722222222221
12 themes,0.8,lognormal,shuffle_z,0.3711111111111111,0.23777777777777778,0.5178055555555554
12 themes,0.8,lognormal,rotate_z,0.23555555555555555,0.12444444444444444,0.3644722222222221
