regime,level,threshold,alternative,statistic,auc,ci_low,ci_high
"whale, independent words",m = 1,0.25,uniform,observed_mean_r2,1.0,1.0,1.0
"whale, independent words",m = 1,0.25,uniform,shuffle_z,0.9866666666666667,0.9544166666666667,1.0
"whale, independent words",m = 1,0.25,uniform,rotate_z,0.88,0.7788888888888889,0.9611111111111111
"whale, independent words",m = 1,0.25,uniform,bigram_z,0.008888888888888889,0.0,0.02666666666666667
"whale, independent words",m = 1,0.25,lognormal,observed_mean_r2,0.9988888888888889,0.9933333333333333,1.0
"whale, independent words",m = 1,0.25,lognormal,shuffle_z,0.9933333333333333,0.9755277777777778,1.0
"whale, independent words",m = 1,0.25,lognormal,rotate_z,0.8566666666666667,0.7466666666666667,0.9455555555555556
"whale, independent words",m = 1,0.25,lognormal,bigram_z,0.3088888888888889,0.18441666666666667,0.4566944444444443
"whale, independent words",m = 1,0.25,geometric,observed_mean_r2,1.0,1.0,1.0
"whale, independent words",m = 1,0.25,geometric,shuffle_z,1.0,1.0,1.0
"whale, independent words",m = 1,0.25,geometric,rotate_z,0.9622222222222222,0.8866666666666667,1.0
"whale, independent words",m = 1,0.25,geometric,bigram_z,0.3422222222222222,0.2066388888888889,0.4789166666666665
"whale, independent words",m = 1,0.5,uniform,observed_mean_r2,1.0,1.0,1.0
"whale, independent words",m = 1,0.5,uniform,shuffle_z,0.8933333333333333,0.8033333333333333,0.9600277777777776
"whale, independent words",m = 1,0.5,uniform,rotate_z,0.9988888888888889,0.9933333333333333,1.0
"whale, independent words",m = 1,0.5,uniform,bigram_z,0.8688888888888889,0.7610833333333333,0.9589166666666665
"whale, independent words",m = 1,0.5,lognormal,observed_mean_r2,1.0,1.0,1.0
"whale, independent words",m = 1,0.5,lognormal,shuffle_z,0.5811111111111111,0.42444444444444446,0.723361111111111
"whale, independent words",m = 1,0.5,lognormal,rotate_z,0.5911111111111111,0.4388888888888889,0.7366944444444443
"whale, independent words",m = 1,0.5,lognormal,bigram_z,0.5066666666666667,0.35,0.6555555555555556
