regime,level,change,alternative,statistic,auc,ci_low,ci_high
"whale, independent words",m = 1,lognormal sigma 0.5,lognormal,observed_mean_r2,1.0,1.0,1.0
"whale, independent words",m = 1,lognormal sigma 0.5,lognormal,shuffle_z,0.8,0.6766666666666666,0.9022222222222223
"whale, independent words",m = 1,lognormal sigma 0.5,lognormal,rotate_z,0.9166666666666666,0.8411111111111111,0.9755555555555555
"whale, independent words",m = 1,lognormal sigma 0.5,lognormal,bigram_z,0.7455555555555555,0.6099444444444444,0.87
"whale, independent words",m = 5,lognormal sigma 0.5,lognormal,observed_mean_r2,1.0,1.0,1.0
"whale, independent words",m = 5,lognormal sigma 0.5,lognormal,shuffle_z,0.2411111111111111,0.13333333333333333,0.373361111111111
"whale, independent words",m = 5,lognormal sigma 0.5,lognormal,rotate_z,0.4822222222222222,0.3333333333333333,0.6277777777777778
"whale, independent words",m = 5,lognormal sigma 0.5,lognormal,bigram_z,0.0,0.0,0.0
"whale, independent words",m = 1,lognormal sigma 1.5,lognormal,observed_mean_r2,0.5966666666666667,0.44555555555555554,0.7389166666666666
"whale, independent words",m = 1,lognormal sigma 1.5,lognormal,shuffle_z,0.3811111111111111,0.23666666666666666,0.5355833333333332
"whale, independent words",m = 1,lognormal sigma 1.5,lognormal,rotate_z,0.6266666666666667,0.48330555555555554,0.7655833333333332
"whale, independent words",m = 1,lognormal sigma 1.5,lognormal,bigram_z,0.8688888888888889,0.76,0.9522222222222222
"whale, independent words",m = 5,lognormal sigma 1.5,lognormal,observed_mean_r2,0.5466666666666666,0.4066388888888889,0.6977777777777778
"whale, independent words",m = 5,lognormal sigma 1.5,lognormal,shuffle_z,0.39222222222222225,0.25552777777777774,0.5422222222222223
"whale, independent words",m = 5,lognormal sigma 1.5,lognormal,rotate_z,0.5066666666666667,0.36330555555555555,0.6466944444444442
"whale, independent words",m = 5,lognormal sigma 1.5,lognormal,bigram_z,0.49666666666666665,0.34444444444444444,0.6422222222222222
"whale, independent words",m = 1,lognormal sigma 2,lognormal,observed_mean_r2,0.22333333333333333,0.1066388888888889,0.3488888888888889
"whale, independent words",m = 1,lognormal sigma 2,lognormal,shuffle_z,0.6466666666666666,0.5033055555555556,0.7844444444444445
"whale, independent words",m = 1,lognormal sigma 2,lognormal,rotate_z,0.8666666666666667,0.7633333333333333,0.9477777777777778
