regime,units,alternative,statistic,auc,ci_low,ci_high
"whale, independent words, m = 1",true,uniform,loglog_r2,1.0,1.0,1.0
"whale, independent words, m = 1",true,uniform,tail_fraction,1.0,1.0,1.0
"whale, independent words, m = 1",true,uniform,gof_p,1.0,1.0,1.0
"whale, independent words, m = 1",true,uniform,lr_normalized_R,1.0,1.0,1.0
"whale, independent words, m = 1",true,uniform,csn_alpha,0.0,0.0,0.0
"whale, independent words, m = 1",true,lognormal,loglog_r2,1.0,1.0,1.0
"whale, independent words, m = 1",true,lognormal,tail_fraction,0.9888888888888889,0.9666388888888889,1.0
"whale, independent words, m = 1",true,lognormal,gof_p,0.9816666666666667,0.9511111111111111,0.9989027777777777
"whale, independent words, m = 1",true,lognormal,lr_normalized_R,0.9688888888888889,0.9166388888888889,1.0
"whale, independent words, m = 1",true,lognormal,csn_alpha,0.0,0.0,0.0
"whale, independent words, m = 1",true,geometric,loglog_r2,1.0,1.0,1.0
"whale, independent words, m = 1",true,geometric,tail_fraction,1.0,1.0,1.0
"whale, independent words, m = 1",true,geometric,gof_p,1.0,1.0,1.0
"whale, independent words, m = 1",true,geometric,lr_normalized_R,1.0,1.0,1.0
"whale, independent words, m = 1",true,geometric,csn_alpha,0.0,0.0,0.0
"whale, independent words, m = 1",discovered,uniform,loglog_r2,1.0,1.0,1.0
"whale, independent words, m = 1",discovered,uniform,tail_fraction,1.0,1.0,1.0
"whale, independent words, m = 1",discovered,uniform,gof_p,0.30777777777777776,0.1788611111111111,0.45002777777777764
"whale, independent words, m = 1",discovered,uniform,lr_normalized_R,0.9477777777777778,0.8621666666666666,1.0
"whale, independent words, m = 1",discovered,uniform,csn_alpha,0.0,0.0,0.0
"whale, independent words, m = 1",discovered,lognormal,loglog_r2,1.0,1.0,1.0
"whale, independent words, m = 1",discovered,lognormal,tail_fraction,0.36444444444444446,0.23775000000000002,0.5055555555555555
"whale, independent words, m = 1",discovered,lognormal,gof_p,0.9666666666666667,0.9188611111111111,1.0
"whale, independent words, m = 1",discovered,lognormal,lr_normalized_R,0.0,0.0,0.0
"whale, independent words, m = 1",discovered,lognormal,csn_alpha,0.3933333333333333,0.2544444444444444,0.5433333333333333
"whale, independent words, m = 1",discovered,geometric,loglog_r2,1.0,1.0,1.0
"whale, independent words, m = 1",discovered,geometric,tail_fraction,0.35888888888888887,0.23333333333333334,0.4955833333333332
